משפחה,תאור מחסן,מחסן,כמות,מק'ט
70.0,מחסן ראשי,Main,12.0,70390767GSP
70.0,מחסן ראשי,Main,28.0,70390902ER
70.0,מחסן ראשי,Main,2.0,70391014ER
70.0,מחסן ראשי,Main,44.0,70391277GSP
70.0,מחסן ראשי,Main,83.0,70391281GSP
70.0,מחסן ראשי,Main,15.0,70391300ER
70.0,מחסן ראשי,Main,31.0,70391306ER
70.0,מחסן ראשי,Main,64.0,70391383GSP
70.0,מחסן ראשי,Main,26.0,70391404ER
70.0,מחסן ראשי,Main,6.0,70391493GSP
70.0,מחסן ראשי,Main,13.0,70391704ER
70.0,מחסן פגומים,06,2.0,70391797ARM
70.0,מחסן ראשי,Main,50.0,70392207GSP
70.0,מחסן ראשי,Main,2.0,70392216ER
70.0,מחסן ראשי,Main,2.0,70392218ER
70.0,מחסן ראשי,Main,2.0,70392220ER
70.0,מחסן ראשי,Main,84.0,70392411GSP
70.0,מחסן ראשי,Main,5.0,70451012ER
70.0,מחסן ראשי,Main,69.0,70451021GSP
70.0,מחסן ראשי,Main,60.0,70451025GSP
70.0,מחסן ראשי,Main,8.0,70451106ER
70.0,מחסן בירורים,05,14.0,70451133GSP
